view_name,line,sn,sample_id,direction,operator,result_key,result_name,reason_key,reason_name,reason_confidence,timestamp,note
operator_disagreement,epump4,55AUH0017,55AUH0017_up,up,operator_F4239,nok,异常,other,其它,0.8,2025-11-01T07:00:00,employee_group=label_2 | reference=3951869 | group_result=nok | fuzzy=中等-其他->其他(0.90)
operator_disagreement,epump4,55AUH0017,55AUH0017_up,up,operator_F4337,nok,异常,friction,摩擦,0.8,2025-11-01T07:00:00,employee_group=label_1 | reference=3951869 | group_result=nok | fuzzy=中等-摩擦音->摩擦(0.90)
operator_disagreement,epump4,55AUH0168,55AUH0168_down,down,operator_F0923,nok,异常,gear_chatter,咬齿,0.8,2025-11-01T07:00:00,employee_group=label_2 | reference=3951869 | group_result=nok | fuzzy=中等-咬齿音->咬齿(0.90)
operator_disagreement,epump4,55AUH0168,55AUH0168_down,down,operator_F2348,nok,异常,chatter,震颤,0.8,2025-11-01T07:00:00,employee_group=label_1 | reference=3951869 | group_result=nok | fuzzy=中等-震颤音->震颤(0.90)
operator_disagreement,epump4,55AUH0196,55AUH0196_down,down,operator_F4239,nok,异常,gear_chatter,咬齿,0.8,2025-11-01T07:00:00,employee_group=label_2 | reference=3951869 | group_result=nok | fuzzy=中等-咬齿音->咬齿(0.90)
operator_disagreement,epump4,55AUH0196,55AUH0196_down,down,operator_F4337,ok,正常,clean_normal,正常,0.9,2025-11-01T07:00:00,employee_group=label_1 | reference=3951869 | group_result=nok | reason_auto=ok->正常
operator_disagreement,epump4,55AUH0196,55AUH0196_up,up,operator_F4239,nok,异常,other,其它,0.8,2025-11-01T07:00:00,employee_group=label_2 | reference=3951869 | group_result=nok | fuzzy=中等-其他->其他(0.90)
operator_disagreement,epump4,55AUH0196,55AUH0196_up,up,operator_F4337,nok,异常,friction,摩擦,0.8,2025-11-01T07:00:00,employee_group=label_1 | reference=3951869 | group_result=nok | fuzzy=中等-摩擦音->摩擦(0.90)
operator_disagreement,epump4,55AUH0225,55AUH0225_down,down,operator_F4239,nok,异常,other,其它,0.8,2025-11-01T07:00:00,employee_group=label_2 | reference=3951869 | group_result=nok | fuzzy=中等-其他->其他(0.90)
operator_disagreement,epump4,55AUH0225,55AUH0225_down,down,operator_F4337,nok,异常,friction,摩擦,0.8,2025-11-01T07:00:00,employee_group=label_1 | reference=3951869 | group_result=nok | fuzzy=中等-摩擦音->摩擦(0.90)
operator_disagreement,epump4,55AUH0291,55AUH0291_down,down,operator_F4239,nok,异常,other,其它,0.8,2025-11-01T07:00:00,employee_group=label_2 | reference=3951869 | group_result=nok | fuzzy=中等-其他->其他(0.90)
operator_disagreement,epump4,55AUH0291,55AUH0291_down,down,operator_F4337,nok,异常,friction,摩擦,0.8,2025-11-01T07:00:00,employee_group=label_1 | reference=3951869 | group_result=nok | fuzzy=中等-摩擦音->摩擦(0.90)
operator_disagreement,epump4,55AUH0361,55AUH0361_down,down,operator_F4239,nok,异常,other,其它,0.8,2025-11-01T07:00:00,employee_group=label_2 | reference=3951869 | group_result=nok | fuzzy=中等-其他->其他(0.90)
operator_disagreement,epump4,55AUH0361,55AUH0361_down,down,operator_F4337,nok,异常,friction,摩擦,0.8,2025-11-01T07:00:00,employee_group=label_1 | reference=3951869 | group_result=nok | fuzzy=中等-摩擦音->摩擦(0.90)
operator_disagreement,epump4,55AUH0396,55AUH0396_down,down,operator_F4239,nok,异常,other,其它,0.8,2025-11-01T07:00:00,employee_group=label_2 | reference=3951869 | group_result=nok | fuzzy=中等-其他->其他(0.90)
operator_disagreement,epump4,55AUH0396,55AUH0396_down,down,operator_F4337,ok,正常,clean_normal,正常,0.9,2025-11-01T07:00:00,employee_group=label_1 | reference=3951869 | group_result=nok | reason_auto=ok->正常
operator_disagreement,epump4,55AUH0430,55AUH0430_up,up,operator_F4239,ok,正常,clean_normal,正常,0.9,2025-11-01T07:00:00,employee_group=label_2 | reference=3951869 | group_result=ok | reason_auto=ok->正常
